Outdoor Temp,
01-Nov-14 00:00:00,42.3899993896
01-Nov-14 00:05:00,42.3899993896
01-Nov-14 00:10:00,42.2999992371
01-Nov-14 00:15:00,42.3899993896
01-Nov-14 00:20:00,42.3899993896
01-Nov-14 00:25:00,42.4399986267
01-Nov-14 00:30:00,42.4399986267
01-Nov-14 00:35:00,42.4799995422
01-Nov-14 00:40:00,42.5699996948
01-Nov-14 00:45:00,42.4399986267
01-Nov-14 00:50:00,42.3300018311
01-Nov-14 00:55:00,42.3300018311
01-Nov-14 01:00:00,42.3899993896
01-Nov-14 01:05:00,42.4399986267
01-Nov-14 01:10:00,42.4399986267
01-Nov-14 01:15:00,42.5699996948
01-Nov-14 01:20:00,42.6199989319
01-Nov-14 01:25:00,42.5699996948
01-Nov-14 01:30:00,42.5699996948
01-Nov-14 01:35:00,42.4399986267
01-Nov-14 01:40:00,42.3300018311
01-Nov-14 01:45:00,42.5299987793
01-Nov-14 01:50:00,42.4399986267
01-Nov-14 01:55:00,42.3899993896
01-Nov-14 02:00:00,42.3300018311
01-Nov-14 02:05:00,42.2999992371
01-Nov-14 02:10:00,42.4799995422
01-Nov-14 02:15:00,42.3899993896
01-Nov-14 02:20:00,42.2400016785
01-Nov-14 02:25:00,42.1500015259
01-Nov-14 02:30:00,42.2099990845
01-Nov-14 02:35:00,42.2400016785
01-Nov-14 02:40:00,42.2400016785
01-Nov-14 02:50:00,42.0600013733
01-Nov-14 03:00:00,42.1500015259
01-Nov-14 03:10:00,42.0299987793
01-Nov-14 03:20:00,42.2400016785
01-Nov-14 03:25:00,41.9700012207
01-Nov-14 03:30:00,42.0600013733
01-Nov-14 03:35:00,41.9199981689
01-Nov-14 03:40:00,41.8800010681
01-Nov-14 03:45:00,41.9700012207
01-Nov-14 03:50:00,41.9700012207
01-Nov-14 03:55:00,42.0299987793
01-Nov-14 04:00:00,41.8300018311
01-Nov-14 04:05:00,41.7000007629
01-Nov-14 04:10:00,41.6500015259
01-Nov-14 04:15:00,41.7400016785
01-Nov-14 04:20:00,41.7000007629
01-Nov-14 04:25:00,41.6500015259
01-Nov-14 04:30:00,41.5900001526
01-Nov-14 04:35:00,41.6500015259
01-Nov-14 04:40:00,41.8300018311
01-Nov-14 04:45:00,41.7900009155
01-Nov-14 04:50:00,41.7000007629
01-Nov-14 04:55:00,41.5900001526
01-Nov-14 05:00:00,41.5600013733
01-Nov-14 05:05:00,41.6500015259
01-Nov-14 05:10:00,41.5600013733
01-Nov-14 05:15:00,41.6500015259
01-Nov-14 05:20:00,41.7000007629
01-Nov-14 05:40:00,41.6500015259
01-Nov-14 05:45:00,41.6500015259
01-Nov-14 05:50:00,41.7000007629
01-Nov-14 05:55:00,41.6500015259
01-Nov-14 06:00:00,41.7000007629
01-Nov-14 06:05:00,41.6500015259
01-Nov-14 06:10:00,41.7000007629
01-Nov-14 06:15:00,41.7000007629
01-Nov-14 06:20:00,41.7400016785
01-Nov-14 06:25:00,41.6500015259
01-Nov-14 06:30:00,41.7400016785
01-Nov-14 06:35:00,41.6500015259
01-Nov-14 06:40:00,41.7000007629
01-Nov-14 06:50:00,41.6500015259
01-Nov-14 07:00:00,41.5
01-Nov-14 07:10:00,41.4099998474
01-Nov-14 07:20:00,41.2700004578
01-Nov-14 07:30:00,41.3199996948
01-Nov-14 07:40:00,41.3199996948
01-Nov-14 07:45:00,41.2299995422
01-Nov-14 07:50:00,41.3199996948
01-Nov-14 07:55:00,41.2299995422
01-Nov-14 08:00:00,41.1800003052
01-Nov-14 08:05:00,41.1399993896
01-Nov-14 08:10:00,41.2299995422
01-Nov-14 08:15:00,41.1800003052
01-Nov-14 08:20:00,41.2700004578
01-Nov-14 08:25:00,41.1399993896
01-Nov-14 08:30:00,41.1800003052
01-Nov-14 08:35:00,41.2299995422
01-Nov-14 08:40:00,41.2299995422
01-Nov-14 08:45:00,41.2700004578
01-Nov-14 08:50:00,41.3800010681
01-Nov-14 08:55:00,41.2700004578
01-Nov-14 09:00:00,41.4099998474
01-Nov-14 09:05:00,41.5
01-Nov-14 09:10:00,41.7400016785
01-Nov-14 09:15:00,41.7400016785
01-Nov-14 09:20:00,41.8800010681
01-Nov-14 09:30:00,41.9700012207
01-Nov-14 09:40:00,42.1199989319
01-Nov-14 09:50:00,42.0299987793
01-Nov-14 09:55:00,42.1500015259
01-Nov-14 10:00:00,42.3300018311
01-Nov-14 10:05:00,42.3300018311
01-Nov-14 10:10:00,42.4799995422
01-Nov-14 10:15:00,42.4799995422
01-Nov-14 10:20:00,42.6599998474
01-Nov-14 10:25:00,42.7999992371
01-Nov-14 10:30:00,42.7099990845
01-Nov-14 10:35:00,42.75
01-Nov-14 10:40:00,42.9399986267
01-Nov-14 10:45:00,42.9799995422
01-Nov-14 10:50:00,42.8499984741
01-Nov-14 10:55:00,42.8899993896
01-Nov-14 11:00:00,43.0699996948
01-Nov-14 11:05:00,43.1599998474
01-Nov-14 11:10:00,43.2099990845
01-Nov-14 11:15:00,43.2999992371
01-Nov-14 11:20:00,43.3899993896
01-Nov-14 11:25:00,43.5699996948
01-Nov-14 11:30:00,43.8100013733
01-Nov-14 11:35:00,43.75
01-Nov-14 11:40:00,43.5699996948
01-Nov-14 11:45:00,43.5400009155
01-Nov-14 11:50:00,43.6599998474
01-Nov-14 11:55:00,44.0800018311
01-Nov-14 12:00:00,44.5299987793
01-Nov-14 12:05:00,44.8199996948
01-Nov-14 12:10:00,44.6399993896
01-Nov-14 12:15:00,44.4399986267
01-Nov-14 12:20:00,44.4399986267
01-Nov-14 12:25:00,44.2200012207
01-Nov-14 12:30:00,44.1699981689
01-Nov-14 12:35:00,44.2200012207
01-Nov-14 12:40:00,44.0800018311
01-Nov-14 12:45:00,44.0800018311
01-Nov-14 12:50:00,44.0400009155
01-Nov-14 12:55:00,43.9500007629
01-Nov-14 13:00:00,43.9900016785
01-Nov-14 13:05:00,44.0800018311
01-Nov-14 13:10:00,44.2200012207
01-Nov-14 13:20:00,44.7599983215
01-Nov-14 13:25:00,44.6399993896
01-Nov-14 13:30:00,44.4399986267
01-Nov-14 13:35:00,44.3499984741
01-Nov-14 13:40:00,44.1699981689
01-Nov-14 13:45:00,44.1300010681
01-Nov-14 13:50:00,44.0800018311
01-Nov-14 14:00:00,44.5299987793
01-Nov-14 14:10:00,45.1800003052
01-Nov-14 14:20:00,45.0299987793
01-Nov-14 14:30:00,44.7599983215
01-Nov-14 14:35:00,44.5800018311
01-Nov-14 14:40:00,44.5299987793
01-Nov-14 14:45:00,44.4000015259
01-Nov-14 14:50:00,44.6399993896
01-Nov-14 14:55:00,44.5800018311
01-Nov-14 15:00:00,44.4900016785
01-Nov-14 15:05:00,44.6399993896
01-Nov-14 15:10:00,44.2599983215
01-Nov-14 15:15:00,44.2599983215
01-Nov-14 15:20:00,43.75
01-Nov-14 15:25:00,43.5400009155
01-Nov-14 15:30:00,43.4500007629
01-Nov-14 15:35:00,43.3600006104
01-Nov-14 15:40:00,42.6599998474
01-Nov-14 15:45:00,42.2400016785
01-Nov-14 15:50:00,41.5900001526
01-Nov-14 15:55:00,41.7000007629
01-Nov-14 16:00:00,41.7400016785
01-Nov-14 16:05:00,42.1199989319
01-Nov-14 16:10:00,42.1199989319
01-Nov-14 16:15:00,42.1199989319
01-Nov-14 16:20:00,42.2099990845
01-Nov-14 16:25:00,41.9700012207
01-Nov-14 16:30:00,41.7400016785
01-Nov-14 16:35:00,41.7000007629
01-Nov-14 16:40:00,41.7900009155
01-Nov-14 16:45:00,41.8800010681
01-Nov-14 16:50:00,41.7400016785
01-Nov-14 16:55:00,41.7000007629
01-Nov-14 17:00:00,41.5900001526
01-Nov-14 17:05:00,41.5
01-Nov-14 17:10:00,41.0400009155
01-Nov-14 17:15:00,40.9500007629
