SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,CLIMATE8 ,FREESTN8 ,WLCNS8   ,RFCNS8   ,GLSSPC8  ,EQGLSS8  ,SUNGLS8  ,BLDSHP8  ,NFLOOR8  ,ELEVTR8  ,NELVTR8  ,ESCLTR8  ,RENOV8   ,RENADD8  ,RENRDC8  ,RENCOS8  ,RENEXT8  ,RENINT8  ,RENHVC8  ,RENLGT8  ,RENWIN8  ,RENPLB8  ,RENINS8  ,RENOTH8  ,GOVOWN8  ,GOVTYP8  ,OWNER8   ,OWNOCC8  ,NOCC8    ,NOCCAT8  ,MONUSE8  ,PORVAC8  ,OPEN248  ,OPNMF8   ,OPNWE8   ,WKHRS8   ,WKHRSC8  ,NWKER8   ,NWKERC8  ,HT18     ,HT28     ,COOL8    ,WATR8    ,COOK8    ,MANU8    ,GENR8    ,ONEACT8  ,FACIL8   ,HEATP8   ,FURNAC8  ,BOILER8  ,PKGHT8   ,SLFCON8  ,HTPMPH8  ,STHW8    ,OTHTEQ8  ,MAINHT8  ,NWMNHT8  ,RDHTNF8  ,HWRDHT8  ,COOLP8   ,PKGCL8   ,RCAC8    ,ACWNWL8  ,HTPMPC8  ,CHWT8    ,CHILLR8  ,EVAPCL8  ,OTCLEQ8  ,PKGCP8   ,MAINCL8  ,NWMNCL8  ,RDCLNF8  ,HWRDCL8  ,VAV8     ,ECN8     ,MAINT8   ,EMCS8    ,WTHTEQ8  ,HWTRM8   ,RFGEQP8  ,RFGWI8   ,RFGOP8   ,RFGCL8   ,RFGRES8  ,RFGVEN8  ,PCTERM8  ,SERVER8  ,MNFRM8   ,SRVFRM8  ,TRNGRM8  ,STDNRM8  ,OTPCRM8  ,PCRMP8   ,SRVNUM8  ,SRVRC8   ,PCNUM8   ,PCTRMC8  ,FLAT8    ,FLATC8   ,PRNTRN8  ,PRNTYP8  ,COPIER8  ,COPRN8   ,FAX8     ,RDOFEQ8  ,CAPGEN8  ,ELHT18   ,NGHT18   ,ELHT28   ,NGHT28   ,ELCOOL8  ,NGCOOL8  ,ELWATR8  ,NGWATR8  ,ELCOOK8  ,NGCOOK8  ,ELMANU8  ,NGMANU8  ,NGGENR8  ,ELLOCUT8 ,ELNONLU8 ,ELOTSRC8 ,NGLOCUT8 ,NGOTSRC8 ,NGSRC8   ,LTOHRP8  ,LOHRPC8  ,LTNHRP8  ,LNHRPC8  ,RDLTNF8  ,BULB8    ,FLUOR8   ,CFLR8    ,HID8     ,HALO8    ,OTLT8    ,FLUORP8  ,SREF8    ,HEB8     ,WINTYP8  ,TINT8    ,REFL8    ,AWN8     ,SKYLT8   ,AUTOLT8  ,DAYLTP8  ,HDD658   ,CDD658   ,MFEUI8   ,ELCEUI8   ,ADJWT8   
14000,4,8,5,1,1,2,2,2,2,4,1,5,6,1,1, ,8,1, ,   , , , , , , , , , , , , , ,2, ,2,2,1,2,12,2,2,1,1,60,4,40,5,1,2,1,1,2,2,2,1,2,72,1,2,2,2,2,2,2,1, ,2, ,72,2,1,2,2,2,2,2,2,   ,2, ,2, ,2,2,1, ,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,10,4,1,5,2,1,1,3,2,1,1,1,3,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,50,2,50,2,2,2,1,2,2,1,2,40,2,2,2,1,2,1,2,2,30,2965,1367,32.37021429,4.218642857,734.43
190000,7,4,2,1,2,1,2,2,2,3,1,6,6,4,1, ,1,10,1,4,2,1,2,2,1,1,1,1,1,1,1,1,2,2, ,2,2,1,2,12,2,2,1,2,55,4,650,9,1,2,1,1,2,2,1,1,2,80,2,2,1,2,2,2,2,3,2,1,3,80,1,2,2,2,2,2,2,2,100,1,2,1,3,1,1,1,1,3,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,700,8,1,4,75,2,1,64,1,3,1,1, ,2, ,1, ,1, ,2, ,2, , ,1,2,2, , , ,100,4,50,2,1,1,1,1,1,1,2,100,2,1,2,2,1,1,2,2,0,4722,1294,100.2964,29.28822632,80.65
25000,4,5,12,1,1,2,2,2,2,4,1,1,2,1,1, ,2,1, ,   , ,1,2,2,1,2,2,2,2,2,2,2,2,2, ,3,1,1,2,12,2,2,3,1,10,2,1,2,1,1,1,2,2,2,2,1,2,50,2,2,1,2,2,2,2,3,2,1,2,50,1,2,2,2,2,2,2,2,100,1,2,1,2,2,2,2,2, , ,2, , , , , ,2, , , , , , ,   ,        ,  ,        ,  , , ,        , ,2,     ,2, ,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,100,4,0,5,1,2,1,2,2,2,2,100,2,2,4, , , , , ,   ,1111,682,5.4008,0.95316,950.84
55000,6,4,2,1,2,2,2,1,2,3,1,2,1,1,1, ,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,1,2,12,2,2,1,2,45,3,118,7,1,2,1,1,2,2,2,1,1,100,2,2,2,2,2,1,2,6, ,2, ,100,2,2,2,2,2,1,2,2,   ,6,2,2, ,2,1,1, ,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,20,50,5,140,6,1,2,15,1,1,10,1,1,2,2, ,2, ,1, ,1, ,2, ,2, , ,1,2,2, , , ,95,4,15,1,1,1,1,1,2,2,2,90,1,1,1,2,2,2,2,2,10,3881,1213,86.82392727,15.00221818,274.46
19000,4,4,14,1,2,1,2,2,2,2,1,1,6,4,2,1,2,1, ,   , ,1,1,2,1,1,2,2,1,1,1,1,2,1,2,9,1,1,2,9,1,2,1,2,50,4,11,4,1,2,1,1,1,2,2,1,2,100,2,1,2,2,2,2,2,2,1,1,1,50,1,2,2,2,2,2,2,2,100,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,10,        ,  ,50,5,2, ,5,2,1,1,1,1,2,2, ,2, ,1, ,2, ,1, ,2, , ,1,2,2, , , ,100,4,10,1,1,2,1,2,2,2,2,100,2,1,2,2,2,2,2,2,70,6582,575,88.90084211,6.850368421,446.21
110000,7,5,14,1,2,2,2,1,2,5,1,1,1,2,1, ,1,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,1,2,12,2,2,1,1,105,6,123,7,1,2,1,1,2,2,2,1,1,100,2,2,2,2,2,1,2,6, ,2, ,100,2,2,2,2,1,2,2,2,   ,5, ,2, ,2,1,2, ,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,   ,        ,  ,125,6,2, ,125,1,1,1,1,3,2,2, ,2, ,2, ,2, ,2, ,2, , ,1,2,2, , , ,100,4,10,1,1,2,1,2,2,2,2,100,1,1,1,2,2,2,2,2,0,851,3537,128.9547455,24.38191818,22.68
600000,9,1,16,1,1,1,2,1,2,4,1,1,1,3,2,3,2,6,1,15,2,1,1,2,1,1,1,2,1,2,2,1,2,2, ,2,2,1,2,12,2,1,1,1,168,7,120,7,1,2,1,1,1,2,1,1,1,100,2,1,2,2,2,2,2,2,2,2, ,100,2,2,2,2,2,1,2,2,   ,6,2,2, ,2,1,1, ,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,5,1,1,200,6,1,2,25,4,1,6,1, ,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,1,90,4,   , , ,1,1,2,1,2,2,100,1,1,3,1,2,1,2,2,10,2970,1505,146.63497,18.85660333,18.98
6300,3,4,18,1,1,2,2,2,2,2,1,4,3,1,1, ,6,1, ,   , ,2,2,2,2,2,2,2,2,2,2,2,2,2, ,1,1,1,2,12,2,1,1,1,168,7,2,2,1,2,1,1,2,2,2,1,1,100,2,1,2,2,2,2,2,2,1,2, ,100,1,2,2,2,2,2,2,2,100,1,2,2, ,2,1,2, ,2,2,1,2,2,2,1,2,2, , , , , , ,   ,        ,  ,        ,  , , ,        , ,2,     ,1, ,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,50,2,   , , ,2,1,1,2,2,2,3,2,1,2,2,2,1,2,2,0,6470,715,91.54825397,9.78031746,352.05
18000,4,6,2,1,2,2,2,2,2,3,1,1,4,1,2,3,2,3,2,   ,2, , , , , , , , , , , , ,2, ,4,1,14,5,12,2,2,1,2,40,3,72,6,1,2,1,1,2,2,2,1,1,100,2,2,2,2,1,2,2,5,2,1,2,100,2,2,2,1,2,2,2,2,   ,4,2,1,2,2,2,1,2,2,2,2, , , , , ,1,1,2,2,2,2,2,   ,10,3,100,6,1,4,20,2,1,4,1,1,2,1, ,2, ,1, ,1, ,2, ,2, , ,1,2,2, , , ,100,4,0,5,1,1,1,1,1,1,2,90,1,1,2,2,2,2,1,2,1,4351,1293,63.18416667,18.51822222,808.04
4800,2,5,15,1,1,2,2,2,2,1,1,1,1,3,2,1,2,1, ,   , ,1,1,2,1,2,1,1,2,2,2,2,2,2, ,6,2,1,2,12,2,2,1,1,84,5,6,3,1,2,1,1,1,2,2,1,2,75,2,2,1,2,2,2,2,3,1,2, ,75,1,2,2,2,2,2,2,2,100,1,1,2, ,2,2,1, ,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,   ,1,1,4,1,1,3,2,2,2,     ,1,3,2,2,1,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,75,3,25,1,1,1,1,2,2,2,2,75,2,1,2,2,2,1,2,2,0,7780,667,297.2785417,43.11770833,1528.98
