SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,HEATP8   ,HTLS508  ,FURNAC8  ,BOILER8  ,PKGHT8   ,SLFCON8  ,HTPMPH8  ,STHW8    ,OTHTEQ8  ,FURNP8   ,BOILP8   ,PKGHP8   ,SLFCNP8  ,HTPHP8   ,STHWP8   ,OTHTP8   ,MAINHT8  ,PKGHPS8  ,SPLHPS8  ,RMHPS8   ,AIRHPT8  ,GRDHPT8  ,WTRHPT8  ,NWMNHT8  ,RDHTNF8  ,HWRDHT8  ,COOLP8   ,PKGCL8   ,RCAC8    ,ACWNWL8  ,HTPMPC8  ,CHWT8    ,CHILLR8  ,EVAPCL8  ,OTCLEQ8  ,PKGCP8   ,RCACP8   ,ACWNWP8  ,HTPCP8   ,CHWTP8   ,CHILP8   ,EVAPP8   ,OTCLP8   ,MAINCL8  ,PKGCPS8  ,SPLCPS8  ,RMCPS8   ,AIRCPT8  ,GRDCPT8  ,WTRCPT8  ,NWMNCL8  ,RDCLNF8  ,HWRDCL8  ,VAV8     ,ECN8     ,MAINT8   ,EMCS8    ,HDD658   ,CDD658   ,MFHTBTU8 ,MFCLBTU8 ,HTEUI,CLEUI,HTCLEUI,ADJWT8   
14000,4,8,5,1,1,2,2,2,2,72, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , , ,2, ,72,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , , ,2, ,2,2,1, ,2965,1367,251667,15549,17.97621429,1.110642857,19.08685714,734.43
190000,7,4,2,1,2,1,2,2,2,80, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , ,2,1,3,80,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,3,1,1,1,1,4722,1294,2241929,2332453,11.79962632,12.27606842,24.07569474,80.65
25000,4,5,12,1,1,2,2,2,2,50, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , ,2,1,2,50,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,2,2,2,2,2,1111,682,54041,6443,2.16164,0.25772,2.41936,950.84
55000,6,4,2,1,2,2,2,1,2,100, ,2,2,2,2,2,1,2,   ,   ,   ,   ,   ,100,   ,6, , , , , , , ,2, ,100,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , ,2,2, ,2,1,1, ,3881,1213,1921342,333340,34.93349091,6.060727273,40.99421818,274.46
19000,4,4,14,1,2,1,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,1,1,1,50,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,1,1,2,1,1,2,6582,575,1184955,42863,62.36605263,2.255947368,64.622,446.21
110000,7,5,14,1,2,2,2,1,2,100, ,2,2,2,2,2,1,2,   ,   ,   ,   ,   ,100,   ,6, , , , , , , ,2, ,100,2,2,2,2,1,2,2,2,   ,   ,   ,   ,100,   ,   ,   ,5, , , , , , , ,2, ,2,1,2, ,851,3537,2748092,0,24.98265455,0,24.98265455,22.68
600000,9,1,16,1,1,1,2,1,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,2,2, ,100,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , ,2,2, ,2,1,1, ,2970,1505,28941727,7075144,48.23621167,11.79190667,60.02811833,18.98
6300,3,4,18,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,1,2, ,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,2, ,2,1,2, ,6470,715,179858,25301,28.54888889,4.016031746,32.56492063,352.05
18000,4,6,2,1,2,2,2,2,2,100, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,2,1,2,1,2,2,2,1,2,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,2,1,2,1,2,2,2,1,2,2,2,1,2,4351,1293,129342,108139,7.185666667,6.007722222,13.19338889,808.04
4800,2,5,15,1,1,2,2,2,2,75, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , ,1,2, ,75,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,2, ,2,2,1, ,7780,667,509427,35281,106.130625,7.350208333,113.4808333,1528.98
